Accession	Peptide count	Peptides used for quantitation	Confidence score	Anova (p)	Max fold change	Fractions	Occurrences	HDIghest mean condDItDIon	Lowest mean condDItDIon	Description	DH_152	DH_226	DH_254	DH_292	DI_230	DI_250	DI_286	DI_288	ADK_T1_231	ADK_T1_290	ADK_T1_381	ADK_T1_525	ADK_T2_227	ADK_T2_287	ADK_T2_291	ADK_T2_338
Q27J81	18	5	93.3847	6.90E-05	3.445749398	1;2;3;4	4	DH	ADK T2	Inverted formin-2 OS=Homo sapiens GN=INF2 PE=1 SV=2	4955.396717	4886.579549	7521.610409	7745.572292	5389.637058	6089.163094	4359.803777	5009.254744	1618.916743	2605.755438	1560.092374	1890.263618	1873.580048	1248.206967	3126.521027	1038.687054
Q01524	2	2	15.4228	8.35E-05	Infinity	2;4	2	ADK T1	DI	Defensin-6 OS=Homo sapiens GN=DEFA6 PE=1 SV=1	0	0	0.027973138	0	0	0	0	0	2781.769635	511.9994867	2310.801192	306.401061	283.5157678	0	0	0
P10645	28	13	237.7605	8.72E-05	7.291618116	1;2;3	3	DH	ADK T1	Chromogranin-A OS=Homo sapiens GN=CHGA PE=1 SV=7	22278.56803	23062.66188	36197.38767	22388.45927	11823.03485	26834.04415	34699.82722	15883.00884	1070.174017	3285.520703	6486.082317	3411.174119	1761.088719	4869.948437	5516.070614	2561.959547
Q9Y281	12	3	92.2523	9.56E-05	4.973398166	2;3;4;5	4	DI	ADK T2	Cofilin-2 OS=Homo sapiens GN=CFL2 PE=1 SV=1	2037.314054	3797.681161	3390.698735	3342.387785	3038.839926	3424.910037	4643.34234	3249.43287	645.3601492	1215.173289	491.0213612	901.7635059	1137.535489	570.6086448	931.1202518	247.3987558
Q07507	7	3	58.8866	0.000103634	4.7242741	1;4	2	DI	ADK T1	Dermatopontin OS=Homo sapiens GN=DPT PE=2 SV=2	4453.781572	3726.106267	4323.51272	6316.042968	5439.91751	5642.22071	7336.851343	8690.528897	609.2984889	1554.40504	2308.940723	1265.701551	2662.065808	1452.028532	2018.122567	1143.0891
P12763	4	1	25.2794	0.000120991	Infinity	1;2	2	DI	DH	Alpha-2-HS-glycoprotein OS=Bos taurus GN=AHSG PE=1 SV=2	0	0	0	0	153.1916248	57.46699948	188.7712549	118.8775145	0	0	0	66.93509927	0	0	0	0
Q5JRX3	30	12	173.3699	0.00014655	2.860751574	1;2;3;4;5	5	ADK T1	DH	Presequence protease, mitochondrial OS=Homo sapiens GN=PITRM1 PE=1 SV=2	599.2676811	408.5555448	482.2530767	580.3741882	464.0242988	553.7704376	532.5902388	684.1004624	932.4926751	2127.294549	1453.89016	1409.367116	825.1221322	1405.832792	1247.263658	1827.186937
P35998	47	17	317.2776	0.000154164	2.287055269	1;2;3;4;5	5	ADK T1	DH	26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3	5000.758491	3929.322662	3479.188246	2698.159794	4812.603101	3713.054626	4161.403038	3860.586849	6210.760112	11109.70106	10520.85622	6710.208142	7321.227443	8361.822055	7321.00277	9310.280884
P20774	16	6	132.3853	0.000169011	9.944977869	2;3;4;5	4	DI	ADK T2	Mimecan OS=Homo sapiens GN=OGN PE=1 SV=1	6774.406157	17920.55681	9658.990283	12525.84685	27783.70615	34227.62207	16672.62081	34352.68963	2882.400715	6727.583492	6022.212518	3060.727228	4024.220923	3069.587327	3567.905232	704.4896565
O00487	7	3	41.3114	0.000183314	2.145592847	3;4	2	ADK T2	DI	26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens GN=PSMD14 PE=1 SV=1	907.4162944	734.2564444	848.8154395	856.4623354	733.993476	683.8431037	622.6578149	548.8806864	1347.090018	1242.388946	1085.438106	1135.718826	930.9222002	1486.756696	1286.660797	1851.40496
O94913	26	6	132.4301	0.000185985	17.06897818	1;2	2	DI	DH	Pre-mRNA cleavage complex 2 protein Pcf11 OS=Homo sapiens GN=PCF11 PE=1 SV=3	446.283377	457.4102639	617.8183415	1309.7416	11425.81738	8905.282493	14582.07575	13413.42998	22793.57453	6792.067211	5161.800541	4449.538094	1787.337615	1253.81221	98.55144613	737.5888004
O75891	20	6	102.1185	0.000192241	55.51838767	2;3;4	3	ADK T1	DH	Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Homo sapiens GN=ALDH1L1 PE=1 SV=2	43.56116104	58.75627736	21.32667449	54.39401558	192.1286027	152.2044114	81.71652867	57.12068705	3426.429581	5556.499789	548.2276368	353.2328297	431.1997241	359.0410381	549.7448123	315.714933
Q9Y4Z0	4	2	32.0681	0.000192697	Infinity	2;3;4	3	ADK T1	ADK T2	U6 snRNA-associated Sm-like protein LSm4 OS=Homo sapiens GN=LSM4 PE=1 SV=1	0	0	34.58165799	0	0	15.1059095	0	0	1173.149571	1868.382667	117.0350826	107.2490749	0	0	0	0
Q00796	11	7	87.007	0.00020696	6.458263895	2;3;4	3	ADK T1	DI	Sorbitol dehydrogenase OS=Homo sapiens GN=SORD PE=1 SV=4	1339.877035	1151.269344	950.5208409	582.9236298	827.6374223	592.129495	471.7057259	556.2602107	7313.521638	1557.390291	3161.926954	3775.265831	3287.656718	2151.796901	1714.778565	2514.943931
Q12904	18	9	113.7374	0.000209367	2.881338142	1;2;3;4;5	5	DI	ADK T1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2	7430.083647	12581.65131	9629.136896	18642.60541	16036.72809	12347.2139	13044.12878	12301.22674	5978.019365	3451.169192	5159.808866	4058.344493	7666.674545	5120.701606	5890.969318	7038.955039
Q96HE7	22	10	172.1178	0.00021132	2.840193042	1;2;3;4;5	5	ADK T2	DI	ERO1-like protein alpha OS=Homo sapiens GN=ERO1L PE=1 SV=2	2063.500347	1607.0892	1894.795763	786.0682462	1098.070915	1537.604223	1665.556556	1224.722514	3746.631562	3536.408232	2724.909507	2914.556523	3035.095743	3638.245151	4810.334327	4211.101472
Q9BQS8	19	2	93.7008	0.000219454	Infinity	1;2	2	DI	ADK T1	FYVE and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=FYCO1 PE=1 SV=3	81.92917565	1049.748247	293.5478604	560.3794721	1100.073922	518.2472953	184.7702084	203.4707899	0	0	0	0	216.7643682	0	28.02812623	0
P41219	69	24	483.0061	0.000222072	3.954749052	1;2;3;4;5	5	DI	ADK T1	Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2	13571.63613	19614.71715	22903.67258	12532.38554	21982.55381	15878.00153	28231.48361	18471.68389	3383.935382	6554.905378	4554.640614	6889.347658	5177.507092	5863.389272	8865.651961	2155.884021
Q96CX2	21	11	188.0321	0.000251073	3.96729848	1;2;3;4;5	5	DI	ADK T1	BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens GN=KCTD12 PE=1 SV=1	14472.68936	18220.95587	20395.11326	29284.3377	25606.38396	21349.73241	29467.44112	32025.71728	7549.690156	2650.98678	10258.26593	6876.856371	11219.16999	10539.27098	11984.04309	9578.709391
Q92889	9	1	44.3957	0.000259644	Infinity	2	1	DI	DH	DNA repair endonuclease XPF OS=Homo sapiens GN=ERCC4 PE=1 SV=3	0	0	0	0	71.35735165	26.21331071	149.6931205	40.3044576	0	127.4193623	15.00703986	45.34298287	0	0	0	0
P28070	17	4	131.5912	0.000263972	17.20352699	1;2;3;4;5	5	ADK T1	DI	Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4	895.2323407	691.9635561	631.0135737	312.3703754	447.7919568	700.0189989	336.2632364	189.8597127	12798.49456	11170.18942	2159.494067	2669.389059	1425.830761	1671.579291	857.2858451	905.5228955
Q5TG08	7	2	36.5778	0.000276648	Infinity	1;2	2	DH	ADK T1	Putative uncharacterized protein LOC388900 OS=Homo sapiens PE=1 SV=2	1434.832513	249.5536161	180.0498821	131.6907059	287.8487206	184.7797292	18.67640969	282.023066	0	0	0	0	23.72976403	0	82.317487	0
Q92820	13	4	84.5852	0.000314796	2.934136684	2;3;4;5	4	ADK T2	ADK T1	Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2	3949.830582	2279.929748	2534.497152	3627.802375	1580.799372	1192.958171	1381.470864	1040.813184	1270.692049	1867.666939	598.7177503	1339.772956	4335.067808	3452.195543	2732.976101	4375.931471
P06731;P13688;P31997	11	2	86.2468	0.000320038	106.3322418	1;3;4;5	4	ADK T2	DI	Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Homo sapiens GN=CEACAM5 PE=1 SV=3	488.2589815	195.5440563	54.55627452	21.66534994	37.34795949	169.9229303	170.3778653	90.18391091	8725.007665	18257.33416	983.5091424	865.4585311	2901.222822	35811.51346	5448.763901	5584.196003
Q6NXG1	10	2	66.5223	0.000328014	Infinity	1;2;3;4	4	ADK T1	DH	Epithelial splicing regulatory protein 1 OS=Homo sapiens GN=ESRP1 PE=1 SV=2	0	0	0	0	0	6.102071992	0	0	172.6535063	50.36293128	21.54335298	251.8290339	19.88077342	0	0	0
Q13404	14	5	93.0447	0.000349454	3.184224854	1;2;3;5	4	ADK T1	DI	Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2	944.9329972	370.5966761	558.9803395	543.1628371	471.2253591	265.5169293	507.836254	414.0240127	1199.185266	1662.816742	1192.011215	1227.350256	782.2881365	1366.888837	890.7515182	853.930052
P23526	31	16	248.4457	0.000352236	2.74523605	1;2;3;4;5	5	ADK T1	DH	Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	6704.455087	8455.163558	5062.973134	10568.22014	6768.806484	10703.92891	10376.303	9836.3411	23779.39899	26077.01157	17172.35478	17499.28153	18276.61301	22664.78546	11218.1695	17841.71865
P33240	7	4	42.5597	0.000368923	1112.006302	1;2;3;4	4	ADK T1	DI	Cleavage stimulation factor subunit 2 OS=Homo sapiens GN=CSTF2 PE=1 SV=1	329.9057274	8.647155658	843.1281641	194.8670003	6.525142466	11.15982387	12.72712406	5.954016485	1828.074887	35882.30412	2273.830439	455.1305838	13.28115827	15.65607181	19.33390377	51.5682572
P29400	12	3	56.9418	0.000376722	Infinity	2	1	ADK T1	DI	Collagen alpha-5(IV) chain OS=Homo sapiens GN=COL4A5 PE=1 SV=2	0	0	0	3.002994431	0	0	0	0	8094.455249	616.3392936	71.80562335	5.65015093	0	0	0	0
Q9UL46	21	11	174.1653	0.000384913	1.932005946	1;2;3;4;5	5	ADK T1	DH	Proteasome activator complex subunit 2 OS=Homo sapiens GN=PSME2 PE=1 SV=4	9010.654279	7948.269213	6295.901757	9313.783015	7384.434879	7765.895384	8610.958699	10562.81923	17734.46002	18354.74962	12472.31314	14361.22202	9851.508221	12366.57967	11396.38827	14096.75794
P31939	60	31	425.7666	0.000385418	2.099213591	1;2;3;4;5	5	ADK T1	DI	Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3	13728.42499	11176.56432	11776.75624	10832.48454	10297.9117	9665.880313	11480.24357	9420.13459	18686.29167	25721.67984	24860.08861	16514.56129	12360.90041	18876.23835	16400.98848	22923.57039
P02788	78	39	666.4657	0.000404555	5.814365878	1;2;3;4;5	5	ADK T2	DH	Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6	15833.06088	7193.604828	13199.75976	7582.940891	20101.56883	43391.00488	41541.82674	56263.07297	32762.50205	44519.50912	21169.63436	16520.31208	51021.39763	71587.37243	40585.06092	91529.8539
P17987	49	25	382.5975	0.000415516	2.492797246	1;2;3;4;5	5	ADK T1	DI	T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	11895.82578	9628.147441	11291.083	12107.93363	10216.70428	9484.601778	9762.552881	8110.559237	16515.74473	38307.43897	20118.11161	18724.11082	13795.55723	15379.96056	16831.81949	18339.38698
Q15124	51	26	397.0722	0.000417894	3.499608479	1;2;3;4;5	5	DI	ADK T1	Phosphoglucomutase-like protein 5 OS=Homo sapiens GN=PGM5 PE=1 SV=2	18238.21762	41476.30033	36591.21555	41613.36497	34653.62969	40855.39721	47194.36036	47577.79564	7199.300239	17362.92848	10607.09884	13487.88194	19428.33645	16431.67596	21815.13976	9889.384631
P53814	74	27	486.547	0.000423393	4.295866988	1;2;3;4;5	5	DH	ADK T1	Smoothelin OS=Homo sapiens GN=SMTN PE=1 SV=7	30146.02323	43861.68541	51476.52534	84809.99541	45796.08182	37667.89568	45990.01925	44168.65815	4291.33301	13262.25791	16466.76234	14932.33313	21425.88196	14827.92049	21983.4546	15439.03195
Q9Y446	38	14	247.1922	0.000452218	3.043433758	1;2;3;4	4	ADK T1	DH	Plakophilin-3 OS=Homo sapiens GN=PKP3 PE=1 SV=1	1129.733154	1306.67366	986.6107006	882.3278048	1439.559972	3211.411682	2070.017262	1101.079238	3587.396329	3492.59033	3355.364849	2667.681776	2133.975199	2757.779202	2327.00142	3083.854772
Q8WX93	75	24	478.5093	0.00045356	2.478574584	1;2;3;4;5	5	DI	ADK T1	Palladin OS=Homo sapiens GN=PALLD PE=1 SV=3	20803.19364	21002.71177	28683.94063	28923.19935	22343.46218	19846.48339	33913.65865	27333.2024	6289.074947	9374.04629	14371.09372	11698.1611	19227.8001	15139.66354	19779.55657	16397.96606
P02769	91	45	1067.9041	0.000455966	8.692631708	1;2;3;4;5	5	ADK T1	ADK T2	Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4	41219.87588	44893.03211	43388.64457	141699.9652	288203.7378	232332.0835	328238.452	355001.3313	818799.8492	680755.435	175269.6554	142147.9677	32948.1614	61751.91593	47373.5202	66950.89222
P49327	124	50	804.8635	0.000486665	2.193776338	1;2;3;4;5	5	ADK T1	DI	Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	6352.891816	7767.630281	6637.275413	7703.764875	5413.715307	5403.805585	7157.352643	7462.503953	19121.78075	16018.8055	10181.95729	10481.37329	9647.867673	9733.414997	10216.25918	8578.257568
Q9H4A4	32	17	238.0556	0.000507867	2.446664173	1;2;3;4;5	5	DI	ADK T1	Aminopeptidase B OS=Homo sapiens GN=RNPEP PE=1 SV=2	15698.96421	16725.16827	16686.89499	22812.40706	13749.63426	22534.60166	23528.487	27365.88173	10971.82262	7164.692955	9485.090636	8010.012381	9588.148853	9056.482187	14249.95402	6849.574841
P11142	81	29	710.0258	0.000645153	1.789151797	1;2;3;4;5	5	ADK T1	DI	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	51175.81705	55598.82465	62640.68121	75171.762	50369.2179	45054.05836	66733.65058	65307.42075	124723.8374	102457.6773	83776.9603	96009.77112	75252.2309	93568.14456	91157.95278	106667.18
Q9H0A0	6	1	29.1192	0.00065516	Infinity	3;4	2	ADK T1	DI	N-acetyltransferase 10 OS=Homo sapiens GN=NAT10 PE=1 SV=2	0	0	9.490394132	0	0	0	0	0	168.5691755	148.1169673	31.11623281	157.1286106	34.14662141	94.92994536	0	16.09797675
Q9P258	30	11	176.5496	0.000679604	5.801694915	1;2;3;4;5	5	ADK T1	DH	Protein RCC2 OS=Homo sapiens GN=RCC2 PE=1 SV=2	372.9693999	265.6990566	229.0708471	224.6133316	739.1004909	472.8985903	443.3119733	357.6392422	3180.162843	1435.363183	761.042984	960.9277196	563.3247572	779.8878498	469.7851131	822.4828302
Q53GQ0	8	4	49.3625	0.000701192	13.35852824	1;3;4;5	4	ADK T1	DI	Estradiol 17-beta-dehydrogenase 12 OS=Homo sapiens GN=HSD17B12 PE=1 SV=2	295.3324128	252.5724701	168.4439498	474.5838827	266.0466707	232.4383872	370.0496048	310.8487634	7965.728968	4893.264429	599.6624248	2296.170984	1399.804432	1095.164882	621.6232168	877.9328887
Q7Z2W9	2	1	13.4157	0.000721305	3.091882184	3;4	2	ADK T1	DH	39S ribosomal protein L21, mitochondrial OS=Homo sapiens GN=MRPL21 PE=1 SV=2	595.6228513	344.8300336	344.680486	533.1210791	446.5185661	565.6900868	598.5013438	544.960086	2329.566599	1152.018534	1167.379583	972.8638235	680.6609433	991.0560512	769.4533831	1378.495064
P13797	44	15	315.5824	0.000756693	2.963241349	1;2;3;4;5	5	DH	ADK T1	Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4	37371.83014	32559.69392	68305.95357	46174.77366	44481.2297	33570.95689	46139.89748	41104.08447	12865.25615	9133.473356	23851.60061	16382.95754	21624.59125	26611.22521	17852.78451	34470.7474
P04792	22	14	193.9613	0.000783844	2.715751416	1;2;3;4;5	5	DI	ADK T1	Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2	75000.99474	101847.3291	150252.1701	149840.4857	110189.6924	101270.9719	198792.4968	122451.3691	54197.98376	35063.90654	47254.86168	59636.88976	82101.64918	67084.39295	86286.44927	87398.32597
P05109	7	2	56.9833	0.000823833	Infinity	2;3;4;5	4	ADK T2	DH	Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1	0	0	0	0	95.4795272	94.43675824	3971.040742	30.04803349	27.32509523	0	258.5039457	495.0827044	1394.290891	311.8432563	944.3291242	5543.228229
P19338	51	22	363.141	0.000889697	2.477902442	1;2;3;4;5	5	ADK T2	DH	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	23844.7899	20829.72108	27187.74007	28871.15541	26567.62891	24463.25827	31859.58875	26953.81672	64333.31397	84541.39744	50993.74502	44267.36908	32358.08624	81427.66158	51620.49382	84201.3122
Q15746;Q86YV6	126	44	831.5163	0.000922052	3.501302685	1;2;3;4;5	5	DI	ADK T1	Myosin light chain kinase, smooth muscle OS=Homo sapiens GN=MYLK PE=1 SV=4	46107.48219	92521.58496	92247.83882	134133.5812	84187.00107	107585.6439	105615.4133	99257.67735	13478.86114	55821.04167	24925.00488	19060.28108	43900.68286	36486.13287	53585.09581	36048.36338
O15061	155	63	1160.0729	0.000929062	4.235107694	1;2;3;4;5	5	DI	ADK T1	Synemin OS=Homo sapiens GN=SYNM PE=1 SV=2	55330.58018	76802.95108	120863.6763	89960.56205	94026.00556	78642.48603	121555.5928	57820.69488	7262.264551	23553.62766	14667.28276	37642.16791	42946.79215	28765.35451	52904.16569	23460.59021
Q08AH1	2	1	10.6908	0.000929565	4.330301099	3	1	ADK T1	DI	Acyl-coenzyme A synthetase ACSM1, mitochondrial OS=Homo sapiens GN=ACSM1 PE=2 SV=1	120.5952637	58.36955172	74.5975438	27.51910084	44.64118031	74.82866149	103.7276794	43.81304568	332.2346669	400.7610856	216.6158968	206.6245021	109.19819	118.9986018	114.5587364	207.5388198
Q9BSH5	8	5	48.0863	0.000988287	Infinity	2;3;4;5	4	ADK T1	ADK T2	Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Homo sapiens GN=HDHD3 PE=1 SV=1	33.29103758	29.71406152	0	0	2.810533236	3.404804825	2.592648623	0	2526.571925	463.7920031	396.6518798	14.86375329	0	0	0	0
P62829	6	3	61.4489	0.001044137	2.443834434	1;2;5	3	ADK T1	DH	60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1	7800.199718	5494.831667	8262.104428	10281.55229	7835.663228	6059.863277	12314.44126	6822.47652	19468.09203	20747.0722	14683.75516	22909.56295	15521.95415	15698.14127	12485.17219	31517.17561
P21912	23	4	151.4724	0.00105735	203.4568627	1;2;4;5	4	ADK T1	ADK T2	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens GN=SDHB PE=1 SV=3	1083.937453	758.2284833	93.29346167	901.8378784	514.7915259	662.0395058	236.1525783	782.2040158	2715.836332	3820.881745	731.0250411	12.77112084	0	0	35.78406815	0
Q9BYT8	14	4	74.2232	0.0010715	89.28545705	1;2;3	3	ADK T1	DI	Neurolysin, mitochondrial OS=Homo sapiens GN=NLN PE=1 SV=1	89.7179115	17.83256105	27.24635111	0.465626901	10.38806576	18.95358807	0	19.22152347	2049.538549	935.413926	569.185532	781.8474742	228.4112328	273.3866547	86.93055509	84.97322263
P29401	42	19	333.8924	0.001103613	2.141933566	1;2;3;4;5	5	ADK T1	DH	Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3	13369.96543	16202.05601	14543.53541	16283.2603	16648.45726	18722.91918	15705.25659	23349.23127	34785.42153	47004.87509	26832.01707	20747.94011	28020.50086	37565.60301	26785.89278	26630.75952
P21953	5	2	30.8593	0.001170105	16539.47404	2;3;4;5	4	ADK T1	DI	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Homo sapiens GN=BCKDHB PE=1 SV=2	71.7624173	0	0	0	0	0.269028527	0	0	355.5982338	3850.995168	38.05645337	204.9404866	19.53263488	1.930960065	3.84226928	0
P21399	56	25	334.7228	0.001190727	2.071635623	1;2;3;4;5	5	DH	ADK T1	Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3	15244.65536	21580.0932	21994.92199	21426.64383	12698.35424	11586.62577	19510.13189	11868.31228	9640.027816	10639.97881	9196.823011	9258.898544	10380.4254	8995.966297	10341.41201	15572.71318
O75964	3	2	21.4086	0.001191466	1.72864364	3;4;5	3	ADK T1	ADK T2	ATP synthase subunit g, mitochondrial OS=Homo sapiens GN=ATP5L PE=1 SV=3	7910.685652	7977.935937	9063.314266	10678.35652	6337.716121	8277.972296	9559.07257	8925.282944	11886.99684	10207.11691	11714.80713	9487.090808	5532.940264	7422.493135	6160.53268	5930.267096
Q9UBY9	7	3	64.2129	0.001199116	41.42714952	3;4	2	DH	ADK T1	Heat shock protein beta-7 OS=Homo sapiens GN=HSPB7 PE=1 SV=1	2654.462701	1200.680519	2539.11513	709.1279999	2155.876147	2207.162616	1133.305431	1035.469516	0	0	54.96279497	116.5041399	1398.973732	165.8061438	443.1299875	130.4297927
P53999	10	3	83.3956	0.001283995	2.33430902	1;2;5	3	ADK T2	DH	Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3	9978.393651	6342.658743	10087.67805	5185.929044	7659.909146	8056.163909	10862.42781	11157.3059	14293.5077	16410.61399	11968.9612	12470.23461	14236.00115	20475.06413	14875.25805	24165.37532
P06396	47	24	419.9492	0.001324388	2.11858323	1;2;3;4;5	5	DI	ADK T1	Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1	76480.10366	96966.5475	122901.4211	115622.761	91975.02347	107083.2941	143684.671	116704.5411	35424.83928	66681.44565	48153.78667	66605.38979	66285.5748	68153.81224	87803.70396	61134.33667
P07900	80	28	701.1074	0.00132912	1.727764497	1;2;3;4;5	5	ADK T1	DI	Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5	26968.3404	27740.94896	28999.53739	46728.02457	29698.03668	24928.30841	30861.42209	24508.68941	47295.93117	49664.74227	43387.37808	49699.92096	46975.68752	35570.48549	49584.11942	54028.69953
Q16851	46	22	296.7273	0.001369132	2.014250787	1;2;3;4;5	5	DH	ADK T2	UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=1 SV=5	9795.010389	10359.06328	12180.0424	10803.96686	7676.298041	12128.71919	8959.98249	7854.684981	6435.810987	6464.645672	7199.052577	6975.400545	6767.013338	6879.584777	4209.175703	3560.667081
P12429	39	12	325.6619	0.001424405	3.589722449	1;2;3;4;5	5	ADK T2	DH	Annexin A3 OS=Homo sapiens GN=ANXA3 PE=1 SV=3	5222.35236	7157.188005	3409.801753	2517.048784	5788.189091	9959.17392	9167.326201	11338.4126	9030.561049	20284.70028	15618.25991	8252.969579	12926.66972	18247.42739	13529.50581	21011.25946
